User ID,Date,Description,Amount,Transaction Type,Category,Account Name
2.0,1/1/2018,Amazon,11.11,debit,Shopping,Platinum Card
2.0,1/3/2018,Credit Card Payment,2298.09,credit,Credit Card Payment,Platinum Card
2.0,1/4/2018,Netflix,11.76,debit,Movies & DVDs,Platinum Card
2.0,1/9/2018,Spotify,10.69,debit,Music,Platinum Card
2.0,1/11/2018,Shell,34.87,debit,Gas & Fuel,Platinum Card
2.0,1/11/2018,Grocery Store,43.54,debit,Groceries,Platinum Card
2.0,1/13/2018,Pizza Place,32.91,debit,Fast Food,Platinum Card
2.0,1/13/2018,Amazon,39.05,debit,Shopping,Platinum Card
2.0,1/20/2018,Amazon,50.21,debit,Shopping,Platinum Card
2.0,1/22/2018,Credit Card Payment,554.99,credit,Credit Card Payment,Platinum Card
2.0,1/24/2018,Starbucks,3.0,debit,Coffee Shops,Platinum Card
2.0,1/29/2018,Brunch Restaurant,17.62,debit,Restaurants,Platinum Card
2.0,2/1/2018,Grocery Store,27.79,debit,Groceries,Platinum Card
2.0,2/1/2018,Amazon,11.11,debit,Shopping,Platinum Card
2.0,2/3/2018,Japanese Restaurant,57.02,debit,Restaurants,Platinum Card
2.0,2/4/2018,Netflix,11.76,debit,Movies & DVDs,Platinum Card
2.0,2/5/2018,Credit Card Payment,145.14,credit,Credit Card Payment,Platinum Card
2.0,2/9/2018,Barbershop,30.0,debit,Haircut,Platinum Card
2.0,2/9/2018,Spotify,10.69,debit,Music,Platinum Card
2.0,2/10/2018,Bojangles,10.66,debit,Fast Food,Platinum Card
2.0,2/11/2018,Fancy Restaurant,106.8,debit,Restaurants,Platinum Card
2.0,2/15/2018,American Tavern,10.0,debit,Restaurants,Platinum Card
2.0,2/21/2018,Starbucks,2.0,debit,Coffee Shops,Platinum Card
2.0,2/26/2018,Credit Card Payment,765.37,credit,Credit Card Payment,Platinum Card
2.0,3/1/2018,Amazon,13.13,debit,Shopping,Platinum Card
2.0,3/4/2018,Grocery Store,10.69,debit,Groceries,Platinum Card
2.0,3/4/2018,Netflix,11.76,debit,Movies & DVDs,Platinum Card
2.0,3/4/2018,BBQ Restaurant,42.24,debit,Restaurants,Platinum Card
2.0,3/5/2018,Starbucks,3.0,debit,Coffee Shops,Platinum Card
2.0,3/7/2018,Starbucks,3.5,debit,Coffee Shops,Platinum Card
2.0,3/8/2018,BP,34.9,debit,Gas & Fuel,Platinum Card
2.0,3/9/2018,Grocery Store,20.72,debit,Groceries,Platinum Card
2.0,3/9/2018,Grocery Store,5.09,debit,Groceries,Platinum Card
2.0,3/9/2018,Spotify,10.69,debit,Music,Platinum Card
2.0,3/12/2018,Grocery Store,19.35,debit,Groceries,Platinum Card
2.0,3/13/2018,Amazon,45.75,debit,Shopping,Platinum Card
2.0,3/14/2018,Grocery Store,22.5,debit,Groceries,Platinum Card
2.0,3/14/2018,Brunch Restaurant,8.49,debit,Restaurants,Platinum Card
2.0,3/15/2018,Starbucks,3.5,debit,Coffee Shops,Platinum Card
2.0,3/17/2018,Pizza Place,23.34,debit,Fast Food,Platinum Card
2.0,3/20/2018,Amazon,14.97,debit,Shopping,Platinum Card
2.0,3/23/2018,Credit Card Payment,559.91,credit,Credit Card Payment,Platinum Card
2.0,3/31/2018,Belgian Restaurant,38.32,debit,Restaurants,Platinum Card
2.0,3/31/2018,Chili's,24.74,debit,Restaurants,Platinum Card
2.0,4/1/2018,Grocery Store,80.79,debit,Groceries,Platinum Card
2.0,4/1/2018,Brewing Company,59.48,debit,Restaurants,Platinum Card
2.0,4/1/2018,Amazon,13.13,debit,Shopping,Platinum Card
2.0,4/2/2018,Grocery Store,82.36,debit,Groceries,Platinum Card
2.0,4/2/2018,Hardware Store,13.89,debit,Home Improvement,Platinum Card
2.0,4/3/2018,Amazon Video,6.41,debit,Movies & DVDs,Platinum Card
2.0,4/4/2018,Credit Card Payment,363.08,credit,Credit Card Payment,Platinum Card
2.0,4/4/2018,Netflix,11.76,debit,Movies & DVDs,Platinum Card
2.0,4/6/2018,Chevron,4.58,debit,Gas & Fuel,Platinum Card
2.0,4/6/2018,Tiny Deli,9.76,debit,Restaurants,Platinum Card
2.0,4/8/2018,Irish Pub,22.0,debit,Restaurants,Platinum Card
2.0,4/9/2018,Spotify,10.69,debit,Music,Platinum Card
2.0,4/12/2018,Starbucks,7.0,debit,Coffee Shops,Platinum Card
2.0,4/12/2018,Barbershop,30.0,debit,Haircut,Platinum Card
2.0,4/13/2018,BP,37.98,debit,Gas & Fuel,Platinum Card
2.0,4/13/2018,American Tavern,10.66,debit,Restaurants,Platinum Card
2.0,4/14/2018,Hardware Store,11.61,debit,Home Improvement,Platinum Card
2.0,4/14/2018,American Tavern,41.0,debit,Restaurants,Platinum Card
2.0,4/22/2018,Grocery Store,21.32,debit,Groceries,Platinum Card
2.0,4/24/2018,Hardware Store,224.7,debit,Home Improvement,Platinum Card
2.0,4/24/2018,Amazon,41.34,debit,Shopping,Platinum Card
2.0,4/26/2018,Credit Card Payment,1216.94,credit,Credit Card Payment,Platinum Card
2.0,4/29/2018,QuikTrip,39.0,debit,Gas & Fuel,Platinum Card
2.0,4/29/2018,Grocery Store,51.05,debit,Groceries,Platinum Card
2.0,4/29/2018,Hardware Store,68.47,debit,Home Improvement,Platinum Card
2.0,4/30/2018,Grocery Store,5.09,debit,Groceries,Platinum Card
2.0,5/1/2018,Amazon,13.13,debit,Shopping,Platinum Card
2.0,5/3/2018,Amazon,49.72,debit,Shopping,Platinum Card
2.0,5/4/2018,Grocery Store,42.23,debit,Groceries,Platinum Card
2.0,5/4/2018,Netflix,11.76,debit,Movies & DVDs,Platinum Card
2.0,5/5/2018,Bojangles,7.27,debit,Fast Food,Platinum Card
2.0,5/5/2018,Pizza Place,20.52,debit,Fast Food,Platinum Card
2.0,5/6/2018,Hardware Store,22.37,debit,Home Improvement,Platinum Card
2.0,5/6/2018,Amazon,117.69,debit,Shopping,Platinum Card
2.0,5/9/2018,Credit Card Payment,601.4,credit,Credit Card Payment,Platinum Card
2.0,5/9/2018,Spotify,10.69,debit,Music,Platinum Card
2.0,5/11/2018,Grocery Store,57.32,debit,Groceries,Platinum Card
2.0,5/12/2018,Liquor Store,27.77,debit,Alcohol & Bars,Platinum Card
2.0,5/12/2018,Shell,33.3,debit,Gas & Fuel,Platinum Card
2.0,5/12/2018,Fancy Restaurant,78.0,debit,Restaurants,Platinum Card
